MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,price
1.775,40.0,2.6875,1.0653,700.0,1.9886,37.82,-122.27,112500
0.9218,21.0,2.0457,1.0342,735.0,1.6781,37.82,-122.27,171900
1.5045,43.0,4.5897,1.1204,1061.0,2.6069,37.82,-122.27,93800
1.1108,41.0,4.4736,1.1847,1959.0,2.7208,37.82,-122.27,97500
1.2475,52.0,4.075,1.14,1162.0,2.905,37.82,-122.27,104200
1.6098,52.0,5.0215,1.0086,701.0,3.0086,37.82,-122.28,87500
1.4113,52.0,4.2955,1.1045,576.0,2.6182,37.82,-122.28,83100
1.5057,52.0,4.7799,1.112,622.0,2.4015,37.82,-122.28,87500
0.8172,52.0,6.1025,1.373,728.0,2.9836,37.82,-122.28,85300
1.2171,52.0,4.5625,1.1217,1074.0,3.5329,37.82,-122.28,80300
2.5625,2.0,2.7719,0.7544,94.0,1.6491,37.82,-122.29,60000
3.3929,52.0,5.9947,1.1283,554.0,2.9626,37.83,-122.29,75700
6.1183,49.0,5.8696,1.2609,86.0,3.7391,37.82,-122.29,75000
0.9011,50.0,6.2295,1.5574,377.0,3.0902,37.81,-122.29,86100
1.191,52.0,7.6981,1.4906,521.0,3.2767,37.81,-122.3,76100
2.5938,48.0,6.2256,1.3684,392.0,2.9474,37.81,-122.3,73500
1.1667,52.0,5.4011,1.1176,604.0,3.2299,37.81,-122.3,78400
0.8056,48.0,4.3825,1.0663,788.0,2.3735,37.81,-122.3,84400
2.6094,52.0,6.9864,1.6599,492.0,3.3469,37.8,-122.29,81300
1.8516,52.0,6.9756,1.3293,274.0,3.3415,37.81,-122.3,85000
0.9802,46.0,4.5843,1.054,1823.0,2.9836,37.81,-122.29,129200
1.7719,26.0,6.0472,1.1969,392.0,3.0866,37.81,-122.29,82500
0.7286,46.0,3.3755,1.0722,582.0,2.1011,37.81,-122.29,95200
1.75,49.0,5.5526,1.3421,560.0,3.6842,37.81,-122.29,75000
0.4999,46.0,1.7143,0.5714,18.0,2.5714,37.81,-122.29,67500
2.483,20.0,6.2782,1.2105,290.0,2.1805,37.81,-122.29,137500
0.9241,17.0,2.8178,1.0524,762.0,1.7358,37.81,-122.28,177500
2.4464,36.0,5.725,1.1041,1236.0,2.4283,37.81,-122.28,102100
1.1111,19.0,5.8309,1.1739,721.0,3.4831,37.81,-122.28,108300
0.8026,23.0,5.3692,1.1508,1054.0,3.2431,37.81,-122.29,112500
2.0114,38.0,4.4129,1.1355,344.0,2.2194,37.8,-122.28,131300
1.5,17.0,3.1972,1.0,609.0,2.1073,37.81,-122.28,162500
1.1667,52.0,3.75,1.0,183.0,3.2679,37.81,-122.27,112500
1.5208,52.0,3.908,1.1149,200.0,2.2989,37.81,-122.28,112500
0.8075,52.0,2.4903,1.0581,346.0,2.2323,37.81,-122.28,137500
1.8088,35.0,5.6095,1.0888,467.0,2.7633,37.81,-122.28,118800
2.4083,52.0,6.7217,1.2435,377.0,3.2783,37.81,-122.28,98200
0.977,40.0,2.3158,1.1868,582.0,1.5316,37.81,-122.27,118800
0.76,10.0,2.6515,1.0545,546.0,1.6545,37.81,-122.27,162500
0.9722,10.0,2.6923,1.0769,125.0,3.2051,37.8,-122.27,137500
2.0938,16.0,2.7459,1.0829,800.0,2.2099,37.8,-122.27,162500
0.8668,52.0,2.4432,0.9886,904.0,10.2727,37.8,-122.28,137500
0.75,52.0,2.8235,0.9118,191.0,5.6176,37.8,-122.28,162500
2.6354,27.0,3.4934,1.149,718.0,2.3775,37.79,-122.27,187500
1.8477,39.0,3.6724,1.334,1327.0,2.8415,37.8,-122.27,179200
2.0096,36.0,2.294,1.0663,3469.0,1.4933,37.8,-122.26,130000
2.8345,31.0,3.8949,1.128,2048.0,1.7356,37.82,-122.26,183800
2.0062,29.0,3.6813,1.1758,202.0,2.2198,37.81,-122.26,125000
1.2185,22.0,2.9456,1.016,2024.0,1.6192,37.82,-122.26,170000
2.6104,37.0,3.7071,1.1071,1838.0,1.8755,37.82,-122.26,193100
2.4912,29.0,3.7248,1.1312,2304.0,1.8432,37.81,-122.25,257800
3.2177,28.0,3.8784,1.0708,2563.0,1.7121,37.81,-122.25,273400
3.125,39.0,3.7456,1.0614,389.0,1.7061,37.81,-122.25,237500
2.5795,52.0,3.5155,1.1436,895.0,1.46,37.81,-122.25,350000
2.8406,34.0,3.2817,1.0699,2689.0,1.5031,37.81,-122.26,335700
4.9306,52.0,6.1844,0.9221,674.0,2.7623,37.82,-122.24,313400
3.2727,52.0,4.443,1.057,709.0,1.5548,37.81,-122.24,268500
3.1691,52.0,4.1659,1.09,686.0,1.6256,37.81,-122.25,259400
3.9,52.0,4.8482,1.046,1444.0,2.0111,37.82,-122.24,275700
3.9063,28.0,4.1608,1.0661,1520.0,1.8953,37.82,-122.25,225000
5.0917,52.0,5.6285,1.1423,550.0,2.1739,37.82,-122.25,262500
2.6429,32.0,3.727,1.0744,1806.0,1.7671,37.82,-122.25,218500
3.0233,26.0,3.2531,0.9827,1749.0,1.4371,37.82,-122.25,255000
3.1484,52.0,4.578,1.0771,939.0,1.8092,37.83,-122.25,224100
3.4722,35.0,3.8223,1.0142,675.0,1.5995,37.83,-122.25,243100
3.1429,52.0,4.3952,0.9863,534.0,1.8351,37.83,-122.25,231600
2.4234,28.0,3.0235,1.0536,2558.0,1.54,37.83,-122.25,218500
3.0897,52.0,4.0405,1.0656,1786.0,1.7223,37.83,-122.25,234100
5.8596,50.0,6.7426,1.0697,970.0,2.6005,37.84,-122.23,327600
5.2868,47.0,6.5464,0.9361,1098.0,2.2639,37.84,-122.23,347600
5.956,41.0,6.8511,1.0798,794.0,2.1117,37.83,-122.24,366100
4.9643,37.0,7.1064,1.1489,98.0,2.0851,37.85,-122.24,335000
6.3434,52.0,6.9479,1.0199,1061.0,2.6328,37.85,-122.23,373600
5.1773,52.0,6.3586,1.0342,1177.0,2.1207,37.84,-122.24,389500
7.2354,52.0,7.1172,0.9946,901.0,2.455,37.85,-122.24,391100
5.457,28.0,5.5303,1.0962,2031.0,2.1245,37.85,-122.22,337300
7.5,50.0,6.1273,0.9875,1031.0,2.1524,37.84,-122.22,295200
6.0194,44.0,5.7353,1.0,1358.0,2.2747,37.84,-122.21,292300
7.5544,40.0,7.6315,1.0306,1616.0,2.4709,37.83,-122.21,411500
6.0666,30.0,6.4461,1.0087,844.0,2.4606,37.84,-122.2,311500
7.0548,34.0,6.125,0.9879,1140.0,2.2984,37.84,-122.21,325900
11.6017,18.0,8.3351,1.0825,533.0,2.7474,37.84,-122.19,392600
7.4882,35.0,6.4673,1.0384,1072.0,2.4199,37.84,-122.2,319300
6.8976,34.0,6.6123,1.0287,1627.0,2.124,37.83,-122.21,333300
8.2049,28.0,6.9789,0.9684,463.0,2.4368,37.83,-122.19,335200
8.401,26.0,7.5308,1.0569,542.0,2.5687,37.83,-122.2,351200
6.8538,29.0,6.658,1.0074,661.0,2.4572,37.83,-122.19,368900
8.317,32.0,6.9772,1.0038,635.0,2.4144,37.82,-122.19,365900
7.0175,37.0,6.983,1.0284,420.0,2.3864,37.82,-122.2,366700
6.3302,39.0,7.54,1.068,1265.0,2.53,37.82,-122.2,362800
6.3624,30.0,5.6154,0.7308,126.0,2.4231,37.81,-122.18,483300
7.0549,52.0,6.7857,0.9514,813.0,2.3229,37.82,-122.21,331400
6.7851,45.0,6.9577,1.0235,1067.0,2.5047,37.81,-122.2,323500
2.8929,50.0,5.1322,1.096,1260.0,2.2826,37.8,-122.21,216700
3.0812,38.0,4.6283,1.0986,951.0,1.9528,37.8,-122.21,233100
5.2402,52.0,6.2009,0.9464,510.0,2.2768,37.81,-122.21,296400
6.5217,52.0,6.3994,1.0877,765.0,2.4838,37.81,-122.22,273700
3.2632,52.0,4.7457,1.0109,1129.0,2.4543,37.8,-122.22,227700
3.0298,52.0,5.1837,1.0522,1073.0,2.4331,37.8,-122.22,199600
4.5428,52.0,5.2835,1.0505,1185.0,2.301,37.8,-122.22,239800
4.072,52.0,5.9529,0.9971,756.0,2.2235,37.81,-122.22,270100
5.3509,52.0,5.6507,1.0288,1034.0,1.9846,37.81,-122.22,302100
3.1603,52.0,4.4292,1.0588,787.0,1.7146,37.8,-122.23,269500
4.7708,52.0,6.7277,1.0751,612.0,2.8732,37.81,-122.23,314700
8.1564,52.0,7.7026,1.0579,1021.0,2.6868,37.81,-122.22,390100
8.8793,52.0,8.9729,1.1318,861.0,3.3372,37.81,-122.23,410300
6.8591,52.0,7.5994,0.9572,953.0,2.9144,37.81,-122.24,352400
6.0302,52.0,5.8203,0.9297,634.0,2.4766,37.81,-122.24,287300
7.508,52.0,7.9943,1.0369,878.0,2.4943,37.81,-122.23,348700
2.7477,52.0,4.3333,1.1387,918.0,1.9006,37.81,-122.24,243800
2.1944,52.0,5.0743,0.96,360.0,2.0571,37.8,-122.24,211500
3.0149,52.0,4.2766,1.0451,1197.0,2.4529,37.8,-122.25,218400
3.675,52.0,4.8514,0.9691,1048.0,2.0232,37.81,-122.24,269900
3.225,46.0,4.3266,1.1178,1373.0,1.838,37.81,-122.25,218800
2.9345,42.0,4.0591,1.0493,1715.0,1.6897,37.8,-122.25,225000
2.1429,43.0,3.2742,1.097,1359.0,1.8823,37.8,-122.25,250000
1.6121,41.0,3.5617,1.1356,1062.0,2.5714,37.8,-122.25,171400
1.3929,29.0,3.1928,1.1177,1335.0,1.727,37.8,-122.25,193800
2.3173,27.0,3.8042,1.1469,1171.0,2.7296,37.79,-122.24,125000
1.7772,45.0,3.8826,1.1435,1475.0,3.2065,37.79,-122.25,97500
2.6458,50.0,3.2092,0.9592,742.0,3.7857,37.79,-122.25,125000
2.181,52.0,3.6887,1.0771,1086.0,2.9917,37.79,-122.25,138800
2.2303,36.0,3.0902,1.116,1645.0,3.0295,37.8,-122.25,116700
1.6504,43.0,3.6398,1.0047,1710.0,2.6553,37.8,-122.25,151800
2.2697,52.0,4.3684,1.0,731.0,3.2061,37.8,-122.24,127000
2.1563,52.0,4.585,1.0749,1118.0,3.2219,37.8,-122.24,128600
2.1348,52.0,4.7343,1.1881,1006.0,3.003,37.8,-122.24,140600
2.6292,47.0,3.6931,1.0614,1213.0,2.1895,37.8,-122.24,182700
2.3833,52.0,4.6381,1.1245,772.0,3.0039,37.8,-122.23,146900
2.957,52.0,4.4963,1.0474,1321.0,3.2943,37.8,-122.24,122800
2.5238,49.0,4.192,1.1064,1487.0,2.1965,37.8,-122.24,169300
1.9375,52.0,4.2097,0.9892,488.0,2.6237,37.8,-122.23,126600
1.9028,51.0,4.0561,1.0561,949.0,2.4209,37.8,-122.23,127900
2.25,50.0,4.2072,1.1566,1149.0,2.7687,37.8,-122.23,123500
2.3929,52.0,4.4714,1.0679,844.0,3.0143,37.8,-122.23,111900
2.1917,43.0,4.844,1.0918,4367.0,3.5475,37.79,-122.23,112800
2.9357,52.0,4.3277,0.9587,1659.0,4.0267,37.79,-122.23,107900
1.8854,30.0,3.7985,1.0038,1011.0,3.8441,37.79,-122.23,137500
2.1638,39.0,3.7763,1.108,1464.0,3.7635,37.79,-122.24,105500
2.125,47.0,4.5281,1.3036,1237.0,4.0825,37.79,-122.24,95500
3.375,52.0,4.0119,1.0714,647.0,3.8512,37.79,-122.24,116100
2.2542,43.0,4.5546,1.0532,1284.0,3.5966,37.79,-122.24,112200
2.1,51.0,3.1818,0.7818,228.0,4.1455,37.79,-122.25,75000
1.6,39.0,3.748,1.0488,381.0,3.0976,37.79,-122.25,112500
3.625,52.0,3.9736,1.0441,846.0,3.7269,37.79,-122.25,125000
1.6929,20.0,3.5104,1.1524,1659.0,2.4541,37.8,-122.26,115000
1.6471,52.0,2.8333,0.9275,520.0,3.7681,37.77,-122.22,95000
2.59,52.0,4.39,1.1622,866.0,3.3436,37.77,-122.22,96400
2.57,52.0,4.2022,1.1257,612.0,3.3443,37.77,-122.23,72000
2.6429,52.0,3.746,1.1587,415.0,3.2937,37.78,-122.23,71300
3.0257,52.0,4.0469,1.0094,994.0,4.6667,37.78,-122.23,80800
1.4886,50.0,4.0252,1.1111,1525.0,3.1971,37.78,-122.22,128800
1.9338,43.0,3.242,1.0776,1506.0,3.4384,37.78,-122.23,112500
1.4844,52.0,3.8667,1.0118,1008.0,3.9529,37.78,-122.23,119400
1.6009,44.0,3.1158,1.0985,2813.0,3.7457,37.78,-122.23,118100
2.0375,48.0,4.9446,1.1545,1481.0,4.3178,37.79,-122.23,122500
2.293,49.0,5.3653,0.9909,859.0,3.9224,37.79,-122.23,106300
2.1494,37.0,4.4799,1.0975,1608.0,3.0746,37.79,-122.22,132500
1.6198,30.0,4.3571,1.0357,425.0,3.0357,37.79,-122.23,122700
1.3281,40.0,5.0543,1.0815,564.0,3.0652,37.79,-122.23,113300
3.5156,44.0,5.4669,1.1544,961.0,3.5331,37.79,-122.22,109500
3.9048,52.0,4.9985,1.0073,2273.0,3.3182,37.79,-122.22,164700
3.0893,52.0,3.9077,0.9744,600.0,3.0769,37.79,-122.21,125000
2.6042,46.0,4.4896,1.0911,1647.0,3.1252,37.79,-122.22,124700
2.5,49.0,4.3066,1.0613,1201.0,2.8325,37.79,-122.22,136700
2.7969,38.0,4.6267,1.0789,2167.0,3.2883,37.79,-122.22,141700
2.8321,29.0,4.8235,1.1059,939.0,2.7618,37.79,-122.2,150000
2.9583,47.0,5.2842,1.0514,859.0,2.9418,37.79,-122.21,138800
2.8365,34.0,4.5814,1.0795,1517.0,2.9399,37.79,-122.21,139200
2.875,35.0,4.5207,1.0596,1143.0,2.9611,37.79,-122.21,143800
3.0682,39.0,4.3168,1.0776,1109.0,2.3901,37.8,-122.21,156500
3.0757,39.0,4.5247,1.0022,1221.0,2.7377,37.8,-122.21,151000
4.9559,43.0,6.6923,1.0967,1115.0,2.4505,37.8,-122.2,273000
4.7721,52.0,5.7724,1.0933,706.0,2.6343,37.8,-122.2,217100
3.4861,52.0,4.9844,1.0071,1883.0,2.6671,37.8,-122.21,187100
5.1184,41.0,6.0882,1.0412,804.0,2.3647,37.8,-122.2,239600
4.0977,48.0,5.2421,1.0437,506.0,2.0079,37.8,-122.21,229700
4.744,48.0,7.1176,1.0882,610.0,2.563,37.8,-122.19,257300
4.2727,46.0,5.8373,1.0271,768.0,2.3133,37.8,-122.19,246900
2.9844,50.0,5.2609,1.0598,462.0,2.5109,37.79,-122.19,179900
4.1739,40.0,4.5106,1.0894,667.0,2.8383,37.79,-122.2,169600
3.8487,46.0,5.1153,1.015,1059.0,2.6541,37.8,-122.2,203300
4.0114,52.0,6.5451,0.9783,637.0,2.2996,37.8,-122.19,263400
4.6563,45.0,5.9868,0.9934,1106.0,2.4361,37.79,-122.19,231800
2.9297,28.0,4.6996,1.1375,1737.0,2.5964,37.79,-122.19,140500
2.3036,35.0,4.6205,1.1769,1009.0,2.5872,37.79,-122.2,126000
2.6667,49.0,4.2,0.9286,737.0,3.5095,37.79,-122.2,122000
2.619,44.0,3.3014,0.9206,1354.0,2.7576,37.79,-122.2,134700
2.4167,45.0,4.462,1.1245,1530.0,3.2278,37.79,-122.21,139400
2.7788,45.0,4.2104,1.1,1410.0,2.9375,37.79,-122.2,115400
2.7352,46.0,3.935,0.8928,1390.0,2.4429,37.78,-122.21,137300
1.8472,52.0,5.4907,1.1152,1065.0,3.9591,37.78,-122.21,137000
2.6583,52.0,4.3102,0.9143,792.0,3.2327,37.78,-122.21,142600
3.0536,49.0,3.6653,0.9959,779.0,3.1796,37.78,-122.21,137500
2.3906,44.0,4.8656,1.1639,2269.0,3.7197,37.78,-122.22,111700
1.7188,43.0,4.1818,1.1302,1227.0,3.0147,37.78,-122.21,126800
2.625,47.0,3.6556,1.029,753.0,3.1245,37.78,-122.21,111300
2.8015,40.0,3.6593,0.8444,547.0,4.0519,37.77,-122.22,114800
1.7276,50.0,4.0364,1.075,1807.0,4.1068,37.78,-122.22,102300
2.0801,44.0,3.3899,1.0384,1700.0,3.4343,37.78,-122.22,131900
2.489,51.0,4.1654,1.1781,1543.0,3.9262,37.78,-122.22,119100
1.7546,52.0,4.7333,1.0467,1085.0,3.6167,37.76,-122.21,80600
4.0904,52.0,4.3139,1.2628,353.0,2.5766,37.77,-122.21,80600
2.6765,52.0,5.0,1.0268,473.0,3.1745,37.77,-122.21,88800
2.4338,49.0,4.7039,1.0311,1621.0,3.3561,37.77,-122.2,102400
2.3309,46.0,3.4859,1.0593,1183.0,3.3418,37.77,-122.21,98700
2.2604,43.0,3.6715,1.1841,836.0,3.0181,37.77,-122.21,100000
1.8039,42.0,3.5437,0.9658,900.0,3.4221,37.77,-122.19,92300
2.2562,39.0,5.0074,1.1117,1888.0,3.5158,37.77,-122.2,94800
2.0562,41.0,4.5367,1.217,1024.0,3.0029,37.77,-122.2,102000
3.5398,52.0,5.4374,1.0473,1225.0,2.896,37.78,-122.2,158400
3.1167,39.0,4.6596,1.0612,1071.0,2.8484,37.78,-122.2,121600
2.5401,50.0,4.9392,1.0661,1128.0,2.9841,37.78,-122.2,129100
2.898,43.0,5.0207,1.0372,1537.0,3.1756,37.77,-122.2,121400
2.3125,44.0,4.3995,1.0534,1240.0,3.1552,37.78,-122.21,102800
2.875,52.0,6.1071,1.0714,469.0,2.7917,37.78,-122.19,160000
3.3715,52.0,5.1059,1.0071,1086.0,2.5553,37.77,-122.19,143900
3.5114,52.0,5.5851,1.0671,1144.0,2.7434,37.77,-122.19,151200
4.3125,52.0,6.6453,1.1067,1109.0,2.9573,37.78,-122.19,164400
3.22,52.0,5.9566,1.0759,984.0,2.6667,37.78,-122.19,156500
3.875,33.0,3.0213,0.6596,575.0,12.234,37.78,-122.18,225000
5.2328,49.0,5.6603,0.9809,496.0,2.3732,37.78,-122.19,174200
3.7262,52.0,5.6316,1.0158,555.0,2.9211,37.78,-122.19,166900
4.5893,45.0,5.4006,1.0153,869.0,2.6575,37.78,-122.2,163500
5.2578,39.0,5.8208,0.8962,236.0,2.2264,37.79,-122.18,253000
7.0875,41.0,6.5935,1.0888,626.0,2.9252,37.79,-122.18,240700
3.9712,46.0,6.4103,1.1763,922.0,2.8024,37.79,-122.18,208100
2.9514,47.0,4.8008,0.9492,582.0,2.2734,37.79,-122.19,198100
2.6667,50.0,4.7463,1.0796,546.0,2.7164,37.79,-122.19,172800
5.4446,37.0,6.1767,0.985,620.0,2.3308,37.81,-122.18,336700
6.2838,34.0,6.9487,1.0,442.0,2.2667,37.8,-122.18,318200
6.7527,23.0,7.064,1.0244,955.0,2.9116,37.8,-122.18,285800
7.0712,24.0,7.5895,0.9784,916.0,2.8272,37.77,-122.13,293000
5.9849,22.0,6.5287,1.0412,4985.0,2.5343,37.79,-122.16,371000
3.6875,42.0,5.7079,0.9738,651.0,2.4382,37.78,-122.17,157300
2.875,30.0,4.7312,1.0612,1704.0,2.4239,37.77,-122.17,135300
3.4205,43.0,4.8771,1.0811,1085.0,2.6658,37.78,-122.18,136700
3.2984,50.0,5.7817,1.1338,713.0,2.5106,37.78,-122.18,160700
3.875,49.0,4.9337,0.9779,468.0,2.5856,37.78,-122.17,140600
4.175,52.0,5.3967,1.0579,296.0,2.4463,37.78,-122.17,144000
4.7708,48.0,5.4278,1.0778,446.0,2.4778,37.77,-122.16,156300
3.5739,45.0,6.0521,1.0339,968.0,2.5208,37.77,-122.16,176000
3.0958,39.0,5.0095,1.1044,857.0,2.712,37.77,-122.16,145800
3.3958,39.0,5.0062,1.0621,912.0,2.8323,37.77,-122.17,141900
1.871,31.0,5.3628,1.1792,1360.0,3.0088,37.77,-122.17,90700
1.9356,41.0,4.4901,1.0338,1074.0,3.0254,37.76,-122.17,90600
2.1842,47.0,5.5445,1.0812,965.0,2.5262,37.76,-122.17,107900
2.2917,37.0,4.9219,1.1188,933.0,2.9156,37.76,-122.18,107000
2.4333,38.0,4.9831,1.1215,987.0,2.7881,37.76,-122.17,98200
1.9479,50.0,4.8252,1.061,907.0,3.687,37.76,-122.18,89500
3.9063,52.0,4.5697,1.0606,447.0,2.7091,37.76,-122.18,93800
1.8407,49.0,5.1175,1.0022,1299.0,2.8803,37.76,-122.18,96700
2.0786,27.0,5.7898,1.5032,396.0,2.5223,37.77,-122.18,97500
2.8125,42.0,4.403,0.959,877.0,3.2724,37.77,-122.18,97300
1.8913,43.0,5.4986,1.1117,1111.0,3.0272,37.76,-122.18,91200
1.7056,49.0,5.0855,1.0483,790.0,2.9368,37.76,-122.19,91400
2.2768,52.0,4.9531,0.9874,1479.0,2.6697,37.77,-122.18,96200
3.2552,51.0,4.8105,1.0753,1173.0,2.6781,37.77,-122.18,120100
2.0556,52.0,4.776,0.9891,1029.0,2.8115,37.77,-122.18,100000
2.4659,52.0,5.7829,1.1171,1030.0,2.9429,37.76,-122.19,94700
1.75,47.0,4.0,0.9283,826.0,2.9606,37.76,-122.2,85700
2.0469,41.0,4.4846,1.1233,1412.0,3.1101,37.77,-122.19,89300
2.7159,45.0,5.3066,1.1261,1132.0,3.2436,37.77,-122.19,101400
1.2083,41.0,5.7925,1.3019,522.0,3.283,37.76,-122.19,72500
1.925,45.0,4.1983,1.0042,630.0,2.6582,37.76,-122.19,74100
1.5809,36.0,4.5564,0.9925,531.0,3.9925,37.75,-122.2,70000
1.4097,37.0,4.018,1.1034,1925.0,2.8861,37.76,-122.2,84600
0.7683,38.0,4.2536,1.0541,1144.0,3.2593,37.76,-122.19,81800
1.3194,19.0,4.2442,1.0865,1481.0,2.8481,37.75,-122.19,81400
0.8012,28.0,5.284,1.1667,435.0,2.6852,37.75,-122.19,81800
1.9479,26.0,4.2673,0.9802,984.0,3.2475,37.76,-122.19,85800
1.1765,36.0,5.327,1.3333,567.0,3.566,37.74,-122.19,87100
2.3456,42.0,4.3984,1.252,380.0,3.0894,37.74,-122.18,83500
2.1538,44.0,4.3689,1.0369,825.0,3.3811,37.73,-122.19,79700
2.5139,43.0,4.5613,0.9484,417.0,2.6903,37.74,-122.19,83400
1.2625,45.0,5.324,1.0139,801.0,2.7909,37.73,-122.19,84700
2.9063,42.0,4.5909,1.0859,646.0,3.2626,37.73,-122.18,80000
2.5192,43.0,4.8807,1.0281,855.0,3.0,37.73,-122.18,76400
2.1111,44.0,4.0294,0.875,435.0,3.1985,37.73,-122.18,79700
2.455,42.0,5.2231,1.1205,2736.0,3.5077,37.73,-122.18,82400
2.4028,41.0,3.8961,1.0749,1481.0,3.5773,37.74,-122.17,97700
2.15,47.0,3.3796,0.9781,327.0,2.3869,37.74,-122.17,97200
2.4776,43.0,4.5698,1.0782,494.0,2.7598,37.74,-122.17,101600
2.1587,43.0,4.3196,1.088,1231.0,3.61,37.73,-122.17,86500
1.8438,35.0,4.6239,1.156,323.0,2.9633,37.74,-122.18,90500
3.0298,46.0,4.56,1.0044,749.0,3.3289,37.74,-122.17,107600
2.25,46.0,4.3202,1.0281,693.0,3.8933,37.74,-122.17,84200
2.2467,46.0,5.9407,1.1045,1339.0,3.7825,37.74,-122.18,88900
4.0469,45.0,4.125,0.95,282.0,3.525,37.75,-122.18,80700
1.325,46.0,4.8256,1.1179,621.0,3.1846,37.75,-122.18,87100
2.1731,45.0,3.8077,1.0038,901.0,3.4654,37.75,-122.18,82000
1.9167,36.0,7.5067,1.7533,482.0,3.2133,37.75,-122.19,82800
2.069,43.0,4.8638,1.0939,652.0,3.061,37.75,-122.18,84600
1.712,36.0,6.3072,1.2892,651.0,3.9217,37.75,-122.18,82100
2.5625,33.0,4.4755,1.0734,999.0,3.493,37.76,-122.17,89300
1.9821,43.0,5.1863,1.0458,907.0,2.9641,37.75,-122.17,98300
2.5043,41.0,5.4652,1.1783,828.0,3.6,37.75,-122.17,92300
2.3281,44.0,4.7953,0.9764,763.0,3.0039,37.75,-122.17,88800
1.4375,48.0,5.0172,1.1175,935.0,2.6791,37.75,-122.17,90000
